freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
1,0,0,1.5769004690004777191681606776575e-17,4.9086895104010698361267834745078e-17,0,0,1.3424187302595108929344628307484e-16,-3.6090481826274235923575303058078e-15,0,0,-6.2547043243497944745301307836885e-15,-9.9713995476735163255158608437132e-17,1.6869331284098467704811130441801e-22,-4.5352637027975629808110524023534e-21,0,0,-7.8598932623014496614554870916608e-21,-1.2530430225991881228250338027379e-22
1,0,0,1.8814184249498118055234103421216e-17,4.8897711639117895913547269524086e-17,0,0,-6.4356409095083249098570350007394e-16,-4.1084939365045383071792298925597e-15,0,0,-6.9360896695767314794668473152218e-15,3.298571243082080590185608276814e-16,-8.087264880981314403132359766295e-22,-5.1628857472963462727538055900488e-21,0,0,-8.7161473402329249032126182099694e-21,4.1451068738436862893768740751528e-22
1,0,0,2.2261144115091819560319489711475e-17,4.8018881958374104818472407567253e-17,0,0,-1.6180627178376133489179057317983e-15,-4.623883588550913647652276361069e-15,0,0,-7.6240082445042341804207466617225e-15,9.0828389894421689174830140291434e-16,-2.0333175789624719404273573834454e-21,-5.8105434851383837942091162604228e-21,0,0,-9.580611316737005757519635133248e-21,1.1413832097188181788375625890417e-21
1,0,0,2.6114491215188162223736329348196e-17,4.6281858012502803558923166531345e-17,0,0,-2.8233310520674027557432618057622e-15,-5.1334571537418214026739975271536e-15,0,0,-8.2928678170038634789696282217227e-15,1.6693347447403091437895169418135e-15,-3.5479024367307574363086848965713e-21,-6.45089251268531029727294933203e-21,0,0,-1.0421125044436225208382415351513e-20,2.0977479081833390587866298412534e-21
1,0,0,3.0357617255460070529624139589601e-17,4.3490042377387445548594071510508e-17,0,0,-4.2961934513560419092476703431668e-15,-5.6047297133131502418566683761356e-15,0,0,-8.9063114903003034582443703070053e-15,2.6510812170377498504054057317051e-15,-5.3987559140722880946480210171057e-21,-7.0431110770804073540257924900202e-21,0,0,-1.1192001099403918804404209662404e-20,3.3314469102062731085066803793677e-21
1,0,0,3.4942943449292028984591601450933e-17,3.9417064240861832674595824787972e-17,0,0,-6.0749656242706178117690086975037e-15,-5.9911170847964320242819567571377e-15,0,0,-9.4140559200776283714962050680064e-15,3.8950762496273398038572528620807e-15,-7.634026950407640994989424862968e-21,-7.5286597681571079506801915701337e-21,0,0,-1.1830051567599750069453202493659e-20,4.8946971724005335114277660419442e-21
1,0,0,3.9779225705687355954147541555947e-17,3.3806394272055091023131524680109e-17,0,0,-8.1972608785348439513061825188213e-15,-6.2278587789414555700728597951556e-15,0,0,-9.7480766880345185745550998210454e-15,5.4446475195468422886032748439745e-15,-1.0300981822225630946962954843399e-20,-7.8261581550068709170389792706669e-21,0,0,-1.2249794443903665978063566310495e-20,6.8419458595176985369737696350054e-21
1,0,0,4.4715361231402745307696036901245e-17,2.6373191467480402783755230309939e-17,0,0,-1.0696452710364965708828296249375e-14,-6.2272400239047800209047321827268e-15,0,0,-9.8181327499307217924782511569887e-15,7.3418934857562738848491071209722e-15,-1.3441558901741282586703120876936e-20,-7.8253806044958333517626760521323e-21,0,0,-1.233782948766068367222019262077e-20,9.2260954553162681712828235469239e-21
1,0,0,4.9520174960383369178604637025693e-17,1.6809643874897513810437527101525e-17,0,0,-1.3596261938809182337083400406839e-14,-5.8732150393269341305190701951539e-15,0,0,-9.5067105290849096318374672044555e-15,9.6228387336157528542388441405777e-15,-1.7085566649298176675409208260232e-20,-7.3804996882010332958488510563568e-21,0,0,-1.1946484783191154853964286580147e-20,1.2092415788882621980553018744275e-20
1,0,0,5.3857805521499238901005049377661e-17,4.7955408083058143749092594358417e-18,0,0,-1.6902792900970688368379059704155e-14,-5.0157004506690350543415209121871e-15,0,0,-8.6636188099009817565035024882784e-15,1.2310055210028430126585226495426e-14,-2.1240676001135687979172930031882e-20,-6.3029150753715421948934961218915e-21,0,0,-1.0887024482674907606693994140927e-20,1.5469271605244028263777130941582e-20
