freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
1,1.8383616014970041681483982536712e-13,8.0891129587144680015087524139065e-14,-1.1955744555082318089658218434591e-14,4.8315354234931743510286133722805e-15,-1.8023125479762805980333818303196e-13,-8.1645473919713048968216636462552e-14,3.8144248062919769575353051068843e-12,-6.6403294555516965184401027015941e-12,1.6667678480062854004215179688349e-13,4.5777039979331966050602911021191e-13,3.5729370796009557245011324539467e-12,-7.3924900289666688479606218202135e-12,4.7933475796470181869664954526591e-18,-8.34448409399084696183610002766e-18,2.0945222506144859816486818740699e-19,5.7525125000862214533818647122346e-19,4.489885152405172703545151461766e-18,-9.2896769466949919350671870818575e-18
1,1.8265333891715798799571628401753e-13,7.8295824687346029569911627306269e-14,-1.5642815603312914108298140943749e-14,6.3566348760998306841764327712899e-15,-2.1246873623402910825155341580523e-13,-9.5899363737857092175236799057352e-14,4.9582837333287768594055286983709e-12,-8.8322869548356594683509147905825e-12,6.9279131948854190246982787385521e-13,-4.2104312290762157652470695040522e-13,3.8019748448096696334649059041746e-12,-8.327819951252183752173832473016e-12,6.230763100415782842566684405766e-18,-1.1098979124683467648458565283176e-17,8.7058724791039304763325479155497e-19,-5.2909839270843526977872387163589e-19,4.7777024966349011287406102716962e-18,-1.0465047191708947475591075543034e-17
1,1.7253405073474925098683056082301e-13,7.1199169431457166646389915819409e-14,-1.9962266628748959559363608362843e-14,8.1278268633888399054912596440205e-15,-2.4698567140284462614340841759668e-13,-1.1092284731855380413512704153921e-13,6.2510899504214575545605820951828e-12,-1.1535553471711718808966774903403e-11,1.3528968877436540076764949139702e-12,-1.6821931768767685433506498727008e-12,3.7272434568914765003867431799081e-12,-8.8871718861042949464435150965813e-12,7.8553513060692134043043702950287e-18,-1.4496004016728706182262053714379e-17,1.7001003694399832697602269978264e-18,-2.1139062905579726604462916781228e-18,4.6837922649243546949797732800742e-18,-1.1167949563429999097991199984287e-17
1,1.506897679666546889539541271071e-13,5.8709904764950658780555830974156e-14,-2.4586770885379999817057756353177e-14,9.9321062188518976302064208395484e-15,-2.811591235895596006484887906672e-13,-1.2547880484891455064101307728787e-13,7.5448573565537034330561986150103e-12,-1.4618539084539558460335500169043e-11,2.0614657276145543943895616481447e-12,-3.2858073084066197709123191224115e-12,3.2143825336257381759367615257442e-12,-8.7097466508726696951694854944251e-12,9.4811473774928090662622484554945e-18,-1.8370197997681894205992665224929e-17,2.5905142342004085420972863664344e-18,-4.1290672404807554167255814067799e-18,4.0393122213863859599342014392076e-18,-1.0944990437203953241338584783479e-17
1,1.1544646960890623436477842897852e-13,4.0737776643385893256685763988528e-14,-2.8944750312425557136740677579927e-14,1.1384965855033718326520929819497e-14,-3.1102512044869919432811640476484e-13,-1.3780534822762156058693551787057e-13,8.613436917966926671578746116222e-12,-1.7719272811812479920889267421774e-11,2.6707180477976831552674618615641e-12,-5.0239219843634411787779710752131e-12,2.2225030258329599722427707150448e-12,-7.4373046337528727101063372102694e-12,1.0823964057457601737887888295285e-17,-2.2266694917017376043548151849238e-17,3.3561232795083502033012144419239e-18,-6.3132465593137766843672822573814e-18,2.7928796714151652206180533771379e-18,-9.34599263996294121750793535856e-18
1,6.761493671591445423611946473607e-14,1.8398424683855578616001499472821e-14,-3.2327842483077469342425691709646e-14,1.2099961255215925496022935387709e-14,-3.3183829927097544983112964209927e-13,-1.4592179469803518740159364902417e-13,9.2382933858925789974672712718206e-12,-2.0256029173331941019923543055375e-11,3.0345778233500728919953530718422e-12,-6.5129888186876363407678746249325e-12,8.643045479450072585550248412725e-13,-4.9423663563733753106001470824535e-12,1.1609181853130920658988006762414e-17,-2.5454476976736060579656506022473e-17,3.8133629586332377092504344447215e-18,-8.1844631302806167469010946761293e-18,1.0861171273153125931097517014511e-18,-6.2107607346127792535656912553884e-18
1,1.1339222756285123027508722905745e-14,-6.0226639687190784329715818332004e-15,-3.394188968381104922113134284527e-14,1.2036883341582463905326118515845e-14,-3.3938253053343531741153079268873e-13,-1.4828157084143757107350219819236e-13,9.2962479555271515076355325471354e-12,-2.1648669473932412936785938302814e-11,3.075276135299828807877679860646e-12,-7.3581619816687241916723357803244e-12,-6.7346973607159136532593289739649e-13,-1.5148856680008669318313963686786e-12,1.1682009713213293793652333302608e-17,-2.7204520391719870896793577052023e-17,3.8645059657671806096273826270541e-18,-9.2465390502136716328054743289347e-18,-8.4630703010302731001543027247738e-19,-1.903661474247995943109282797834e-18
1,2.1449576760950632558759206526957e-15,-6.8163102659246355719724240688588e-16,8.4349612679292952160261069915411e-15,5.205832692985098512309338456001e-15,-7.3367238809568515170526075582556e-16,2.7266659736868243952584652092288e-16,-1.3699585309084007725910222519275e-12,-2.8968353424761636081363176279668e-12,-3.3250692560910705156036267542313e-12,1.0656439576323631490735598679375e-12,-8.9790440820548650733412687363588e-14,4.6712974201640166348541725612823e-14,-1.7215406625697987952018931202312e-18,-3.6402706522329549517172628463311e-18,-4.1784052590451941036275597016028e-18,1.3391276914560738145837018802593e-18,-1.1283399569776986962545921429854e-19,5.8701254631680902477701379756556e-20
1,-1.0288532946822214483444928627531e-14,1.8655711560957000387920501977288e-14,-9.3666607422443066131747313429051e-15,2.8086175366513738884964926916545e-14,8.1956786200004982533814600199325e-17,-4.5515630935987080976993849396881e-15,9.066573831486964828332080459745e-12,1.8574932347808093393730107290604e-11,-3.7900194268097093304403767889952e-12,-1.2731342370313612592124127462157e-11,5.1594148661724497846806278646871e-13,5.8962658188992853875406578789749e-13,1.1393392696891564901161667819194e-17,2.334194840192052537896700451386e-17,-4.7626788752911923264453151453767e-18,-1.5998676664365484493639330465333e-17,6.4835119361557338921003314717071e-19,7.409466152106640161056797543458e-19
1,-7.4942585695949046622151370755129e-14,1.7957162085399425239628331627454e-15,-1.1423790900008354857456470038596e-13,1.8805869820991806090834593578081e-14,2.626761937179981372787653118407e-14,-1.4459152743828569341683419435592e-14,-1.9663955772168848071432507878266e-11,3.6224148203966527192651384498099e-11,1.5987782549101183261033601070319e-11,-1.9769405077968098375932181738366e-11,2.6771101352134824186565830641037e-13,1.8038387599018069233202392623395e-12,-2.471045559774410371987833536704e-17,4.5520607152051653674459432021515e-17,2.009084008137894947070660199362e-17,-2.4842967103514132476892830846606e-17,3.3641558134549813954960873127914e-19,2.2667706385472158292693737367769e-18
