freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
1,-7.0360793626805910488073202331e-19,-8.1789092784514928338559403733859e-18,7.0360793626805910488073202331e-19,8.1789092784514928338559403733859e-18,0,0,3.0306282545506197861657729296119e-16,-9.0211568088492236391545372884025e-17,3.0306282545506197861657729296119e-16,-9.0211568088492236391545372884025e-17,-4.0101999805203402132762386577851e-16,-5.7531153021536365681899655193575e-17,3.8083997841031536573182110837754e-22,-1.1336319983024903775072188738711e-22,3.8083997841031536573182110837754e-22,-1.1336319983024903775072188738711e-22,-5.0393659192914524799619898596496e-22,-7.2295779074003547702790985280308e-23
1,-1.1579160256042368442695516891613e-18,-9.2818694512527919437107056840351e-18,1.1579160256042368442695516891613e-18,9.2818694512527919437107056840351e-18,0,0,2.4204849218988471073521613312272e-16,-1.4216876678471400750743173548291e-16,2.4204849218988471073521613312272e-16,-1.4216876678471400750743173548291e-16,-6.3117889025220596640776702618544e-16,-2.6245300983188795927486631498578e-17,3.0416710595049128349440561363177e-22,-1.7865454132031121831837332990102e-22,3.0416710595049128349440561363177e-22,-1.7865454132031121831837332990102e-22,-7.9316278588691546446157743539372e-22,-3.2980817904015555821398511566417e-23
1,-1.8327945303957740021275115465728e-18,-9.9479057548406623010331917307373e-18,1.8327945303957740021275115465728e-18,9.9479057548406623010331917307373e-18,0,0,7.2780704592271107847381294629515e-17,-1.9810356215769476823849125396538e-16,7.2780704592271107847381294629515e-17,-1.9810356215769476823849125396538e-16,-8.9159545290047309046147494790207e-16,7.0144277907910851231135050609745e-17,9.1458930748067129775604860911653e-23,-2.4894427820983313292654555566446e-22,9.1458930748067129775604860911653e-23,-2.4894427820983313292654555566446e-22,-1.120411889922476334400175869792e-21,8.814589926674141841569821351354e-23
1,-2.6703129044734747101522656696604e-18,-9.6465317514251108906533888781131e-18,2.6703129044734747101522656696604e-18,9.6465317514251108906533888781131e-18,0,0,-2.5459243806460590973169461196145e-16,-2.1246488319067041570471100926758e-16,-2.5459243806460590973169461196145e-16,-2.1246488319067041570471100926758e-16,-1.0862777252092317353979849126565e-15,2.7400525833419324605962993866693e-16,-3.1993029323331209979398897321616e-22,-2.6699124647104945695828556420291e-22,-3.1993029323331209979398897321616e-22,-2.6699124647104945695828556420291e-22,-1.365056848510221688633844508357e-21,3.4432516265106994635257444174538e-22
1,-3.3145536927884671244366946892801e-18,-7.7284322312930615797003953915964e-18,3.3145536927884671244366946892801e-18,7.7284322312930615797003953915964e-18,0,0,-7.3473375914297552014046757869748e-16,-7.5663680867255889281027938659403e-17,-7.3473375914297552014046757869748e-16,-7.5663680867255889281027938659403e-17,-1.0022129139025150514564202869529e-15,5.7787221839392155413674960472892e-16,-9.2329367202719379339750802980347e-22,-9.508178558245346890041683063192e-23,-9.2329367202719379339750802980347e-22,-9.508178558245346890041683063192e-23,-1.2594178910595842940309834567622e-21,7.261756464079921320180925859154e-22
1,-2.8571358435392367953878708648194e-18,-3.8971780219119585478407283603896e-18,2.8571358435392367953878708648194e-18,3.8971780219119585478407283603896e-18,0,0,-1.1611351190439430444980640965044e-15,3.6843425368079409719961308204187e-16,-1.1611351190439430444980640965044e-15,3.6843425368079409719961308204187e-16,-3.3874546522059268556570859519706e-16,7.5264266239325504253388287931139e-16,-1.4591254239254243168444838911143e-21,4.6298813787776829934548836978513e-22,-1.4591254239254243168444838911143e-21,4.6298813787776829934548836978513e-22,-4.2568010598954822496755242271233e-22,9.457986635811651080851149517529e-22
1,-3.5694888364712267093808782386516e-20,5.8916582187987446550436926749139e-19,3.5694888364712267093808782386516e-20,-5.8916582187987446550436926749139e-19,0,0,-9.2928137331425604843042153767347e-16,1.061673900857947411552142559276e-15,-9.2928137331425604843042153767347e-16,1.061673900857947411552142559276e-15,9.0284527062921787300078158119157e-16,8.5420026337683551968592811237912e-17,-1.1677694142087601389225658042038e-21,1.3341387709773382797309427652575e-21,-1.1677694142087601389225658042038e-21,1.3341387709773382797309427652575e-21,1.1345488278148158220695184377975e-21,1.07341970884765301850093369748e-22
1,-2.8125039432981429286709678922632e-19,4.9398232983015806643637922479283e-18,2.8125039432981429286709678922632e-19,-4.9398232983015806643637922479283e-18,0,0,-1.3681018719777610080979698465085e-15,-2.0832264358451145586685789659157e-15,-1.3681018719777610080979698465085e-15,-2.0832264358451145586685789659157e-15,1.692057762613862936317615716331e-15,1.5978170577599804861104600886786e-15,-1.7192075161471111897252842986165e-21,-2.6178595466460240244975967696178e-21,-1.7192075161471111897252842986165e-21,-2.6178595466460240244975967696178e-21,2.1263024945909173553033899303927e-21,2.0078761321756849192982896737312e-21
1,-2.0373175934170624924136983054776e-17,-2.4671118075425756873495806542052e-18,2.0373175934170624924136983054776e-17,2.4671118075425756873495806542052e-18,0,0,9.0325275914240671947039878337623e-15,-6.6121219619658676941401069512969e-15,9.0325275914240671947039878337623e-15,-6.6121219619658676941401069512969e-15,-7.5507533782228053026906619972888e-15,6.7714308465068689989382113174916e-15,1.135060892982598285093739044598e-20,-8.3090375121406787465137775610882e-21,1.135060892982598285093739044598e-20,-8.3090375121406787465137775610882e-21,-9.4885565368372318725436411176651e-21,8.5092309606709175221402751514113e-21
1,-4.1355108932868158664477842530429e-17,-3.546204894862954472045174423896e-17,4.1355108932868158664477842530429e-17,3.546204894862954472045174423896e-17,0,0,7.1832414178059704388636849896182e-15,-3.7321709780430363472378527446312e-15,7.1832414178059704388636849896182e-15,-3.7321709780430363472378527446312e-15,-2.660849660468888094652011946859e-14,3.7016604530595640867082778637277e-15,9.0267273868564665564998540904935e-21,-4.6899843706244140786593392897847e-21,9.0267273868564665564998540904935e-21,-4.6899843706244140786593392897847e-21,-3.3437222982543813287033112636039e-20,4.6516437141663165269534053707966e-21
