freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
1,-1.472549680365722559890974321245e-07,-2.0271459040602630937592999347749e-09,-1.4725496803657222951931783042762e-07,-2.027145904060262680168993658261e-09,1.2802643262208803845301130150403e-07,-2.8335612614264606755082161545925e-09,1.156823636347812334307458975724e-05,-3.6209734444487837348483866110882e-07,-1.1568236363478125037140484265841e-05,3.6209734444487847936395706789636e-07,0,0,1.4537074549797269840748557139591e-11,-4.5502494287696108819032595140096e-13,-1.4537074549797273071922824924855e-11,4.5502494287696129013871768797998e-13,0,0
1,-7.2271659626974294760845147921496e-12,-4.6420729894448037431726065413345e-12,-4.0852040735624412084047056412505e-12,2.1399452175279425189936922123908e-11,1.0420883134875255057710959370441e-12,3.8483678371775910615920476992618e-12,2.2838858310781425510454023595878e-09,8.0324736651194868230029232916353e-09,-8.799446105739504602439013649577e-10,-5.9802826861608485409437055988283e-10,5.8672502866712856585195101600735e-09,7.7453048663894816379327441010355e-09,2.8700155794211646821470314612668e-15,1.0093904102597143335789165334394e-14,-1.1057710096580215354872584963094e-15,-7.5150448612932613758761002437884e-16,7.3730041589516461977533574324983e-15,9.7330371472249867251620136640278e-15
1,4.0542726250018544426132555203828e-14,3.2742782994298364418298585278414e-14,5.4566596544076160362353336488949e-13,-2.2766784821855714442215894180387e-13,2.4582128707695527046275782654756e-14,-6.7077212317184119960801328007104e-14,1.6939894551141421992760252288778e-10,-2.7400146732372631977887870825881e-10,1.5652435718096462337566222543781e-11,1.4480023557089397038827042321955e-11,5.7064008709057606874740660455721e-11,-2.2532432053027565050395106795519e-10,2.1287299309780663275075620978194e-16,-3.4432039872681692532269725172929e-16,1.9669430825103327895522522036078e-17,1.8196134252303676098755501654251e-17,7.1708748217903743793557977241525e-17,-2.8315089202121030343908766144161e-16
1,5.3783570932878356067226796965965e-16,-5.4446531504892989204649039557618e-16,-2.2898996357585192454792467915739e-14,-1.9852877410473991548317889753793e-14,-2.4236439247449937684834679905957e-15,7.2965284956615313939278918807034e-16,-1.7391547920119313043428477639811e-11,-1.858872549671799524671667803482e-12,-1.1055734158599996252812932256141e-13,-1.5286203084046447229994622037528e-12,-1.0536963357490826339156212577049e-11,8.838830069098823085319023846427e-13,-2.1854863672160671960247349406641e-17,-2.3359281384034612709195025379536e-18,-1.3893045285079791471567279524584e-19,-1.9209209324048783832319375171027e-18,-1.3241138670015208365051518386635e-17,1.1107201444563769545511116083607e-18
1,3.9960175701018374476416036047449e-16,-4.2536835754483880206573150590938e-16,-1.5431558366194215637906889335958e-15,2.8665826576996824327558182403947e-15,1.1299578606380321941630341540396e-16,9.5902608558707703090010397592721e-17,3.8241258853879563011525861272343e-13,7.9904743968271380226833890530717e-13,-8.4763148670453865844394535968999e-14,-1.2000526762480647395547221341352e-13,3.4618654837337930440654084711859e-13,7.4521379847638166288616959439649e-13,4.8055383151749468672391046725167e-19,1.0041126265507787392313845093399e-18,-1.0651651406329491983453013819353e-19,-1.5080306686486760545183316031335e-19,4.3503084685656632073829880223307e-19,9.3646327785885803948708891493793e-19
1,1.5477728021781407981868250749067e-16,-2.0040905525571582876580364845224e-16,-1.2907225049335906717518857725902e-16,4.0474899198967449492928309278861e-16,1.0137893893784432432867934563291e-18,-1.1354805296740518608213742807605e-17,5.9597041338802685001900984136256e-14,-2.5404372876319703223458004603617e-13,1.3648135226922855766102524655197e-15,-8.7234265213264475132478912119701e-14,6.3917268809952136648853184558252e-14,-3.5399714465213282236012183178681e-14,7.4891850898267875767094646094454e-20,-3.1924076478920708289701690280269e-19,1.7150752545640364048066488860659e-21,-1.0962181069411812739448839121018e-19,8.0320808852347851887756511222151e-20,-4.4484593161236144991121410502306e-20
1,9.4194807731927712204171328233598e-17,-1.0992956946531150531869088796525e-16,-1.943520340497354133616644871356e-16,2.1059597882733858666940569760896e-16,-8.8350218154909077878470171033818e-19,5.1187324327321272107280846997111e-19,-1.7752054435182779261826041516167e-14,-1.0850200991565568242208108998151e-13,-4.1082322020863356379970573625333e-15,-5.2681467583076942639830232267451e-14,1.9475950329959912070892192184039e-15,3.4466163989230761237245214715777e-15,-2.2307889519878527253605470744423e-20,-1.3634764690030031433010159840533e-19,-5.1625568421261795572150947030029e-21,-6.6201484615729330855175720369248e-20,2.4474200991312706414433113838658e-21,4.331145903439537347788110268285e-21
1,5.9743465041729955778182696085572e-17,-6.9526417021569317842753386710698e-17,-1.1991238371129281379548009429268e-16,1.4260848222410700764361947972973e-16,9.0679375346777247905700612640278e-20,4.4655149652110798517423127555802e-20,-5.1834692247526360348491340797637e-15,-6.4554485430761568231979411735171e-14,-2.4351269582698260323038463773874e-15,-3.2437815554133513422562698425268e-14,4.0364285710949407691952409793219e-15,3.7809277270378289788652061273812e-15,-6.5137395346366643799904504680378e-21,-8.1121558874219949606857379108292e-20,-3.0600707850635777262533383018765e-21,-4.0762561217346622826952650357157e-20,5.0723257382767250666339424732945e-21,4.7512539084063990023739805217309e-21
1,3.9970763405235321273193746018872e-17,-4.6390525168985399608981146633769e-17,-7.9522219470763193398479232406845e-17,9.4020765615350932019711618270286e-17,-1.0695363977815407843053354456634e-21,-1.0643533432615007228280756830133e-20,-3.2316875711272300741365939558092e-15,-4.3774447151524642615053758792448e-14,-1.5333609607127758198182632796538e-15,-2.1735334548204309298423962031169e-14,2.3749069156798883825117092116902e-15,1.8457767396959248703094235286071e-15,-4.0610583728602991259998582468414e-21,-5.5008592634473789047079221506951e-20,-1.9268782117906576338794377782672e-21,-2.7313426935982034936413827762e-20,2.9843960477038125962174684108484e-21,2.3194714582382547063955375415464e-21
1,2.8097158336409518024227772702494e-17,-3.2483279527315255179408842712573e-17,-5.6056312493805707463418198262211e-17,6.5612792892315107607458854154461e-17,-9.5569156588027324863879284362608e-22,6.9828947627622115060035852158964e-22,-2.2711302300205244306919791829072e-15,-3.0647555290667171852144361804434e-14,-1.0677904606111102872122943504694e-15,-1.525052894788289210427269210049e-14,1.4226229982938069484950813850766e-15,1.168966195130468162848260299996e-15,-2.8539864183912706105417272050853e-21,-3.8512853820658793546806755491246e-20,-1.3418250666516500854504730650357e-21,-1.9164379882410946389928578586991e-20,1.7877207841070832097802080782484e-21,1.4689662443666765971451743972919e-21
