freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
1,-1.8033501392586640639046905378378e-23,-2.4821247789035078554209742837485e-25,-2.9450942761851446367334485601508e-07,-4.0536173868770326022205368254533e-09,5.2838021253878605932578900147064e-09,-4.2715012758663244041509739747518e-11,2.3136984096134558436296327355031e-05,-7.2405625123191803703588415724868e-07,-1.4167316757627201269171517677911e-21,4.4335658523690013259623484975383e-23,0,0,2.9074791705056079820822662013921e-11,-9.0987591986238366579367050166161e-13,-1.7803175298736473335032153972105e-27,5.5713831644036097722605325749531e-29,0,0
1,-9.4628440879412013603059481502152e-28,6.4497909971552823998523258270317e-27,5.2787652820980740268849956806274e-13,-1.9446210553309032350112409416758e-11,-8.8705065794091699088131044678265e-12,8.7904145304352782831569149214427e-12,-3.0907431213099379641262194075811e-09,-1.5558898582231652217749406637119e-08,-7.9674934442065435807446905822974e-25,-2.8908406489226175612748026629757e-24,1.4404710420956628393988957455111e-24,1.896951322068983040364112504887e-24,-3.8839423536161945264621648290067e-15,-1.9551888593555041245720796203927e-14,-1.0012247548737645750816920116475e-30,-3.6327374981416183420922062119786e-30,1.8101492974226271982605400420995e-30,2.3837793350517447704218604849798e-30
1,2.3037796937310368699682876995841e-28,-6.0965811888777611482994586417442e-29,-1.1328593635468933107259653623547e-12,-1.5921876688178403428162880227276e-13,6.1537499795179234760858194808412e-13,1.9739969946665371730593314842394e-13,-7.4539695564399744557365084401436e-10,5.6276597548977888355613086120198e-10,-9.3121333129488380143001386185098e-26,1.2075261297154505308188006852953e-25,1.4556107488239092184800047128265e-26,-5.6546368185173721855783329209155e-26,-9.3669343994375166691496020219808e-16,7.0719258171559318895296684430972e-16,-1.1701971842083540114924419478496e-31,1.5174220872527098532297790660339e-31,1.8291744139966122039348806388506e-32,-7.1058261951090145619797487325528e-32
1,5.7455847760542040903762592681647e-30,-2.1870358201949961552328294915579e-29,-1.32043217504877321477355704291e-13,1.5612977670141715272932592532929e-13,1.676241956260374192667152798501e-14,-5.0808942891721003700185479082567e-14,1.7884122762779643909415761467671e-11,1.4055383159963676148612755867036e-10,7.2210076550022781096594824687247e-27,1.4029495552658741112427234628513e-26,-2.8550293269889008921241942955932e-27,7.6006039019093385042495757281118e-29,2.2473851474978607879836787653479e-17,1.7662515391492631868176710619515e-16,9.0741858401883264022366107682083e-33,1.7629984064721349898220636824895e-32,-3.5877356637806966747253347207527e-33,9.5512005524337178623707802737074e-35
1,1.4652394172843183376834988661876e-30,-4.8961560396096070650604305258519e-30,-2.7745631859854022114987880970737e-14,5.6625758564919646638775364164587e-14,-5.0339125420098722123038785558896e-17,-8.294281252473445880041913437345e-15,1.3955918546502487047136645744661e-11,3.965806379918123550653058099909e-11,1.7052097970747605248029212477223e-27,3.2894371975394522195355189842477e-27,6.7419715928673359775879971744832e-29,2.2705135278957122040352290511236e-28,1.75375244719159035757099372532e-17,4.9835792754841231218561998034081e-17,2.1428298285277639798676881809633e-33,4.1336286936939757957220664688095e-33,8.4722113707452384528406517313822e-35,2.8532114476453655219012172910816e-34
1,1.1918249439881823464877632837628e-31,-2.252290284687256596042511791651e-30,-4.6606017333643061075187176043283e-15,2.6310993870272390212416817128465e-14,-3.4339272323499383173703724765353e-16,-3.5548778637741490855263643824795e-15,1.0135884480820506444995658515523e-11,1.4781479807192555979044098631603e-11,1.0120537444456272408157252416656e-27,1.2331958398379410849917380965071e-27,2.2039811561916845791054288585307e-29,-7.4919856783267586335939645348884e-30,1.2737128089032197625140819179349e-17,1.857495534858480017223555528442e-17,1.2717842434353697426079384178526e-33,1.5496795963489485296330356118284e-33,2.7696044035768533460675440768564e-35,-9.4147068671325149116193425993145e-36
1,-3.0982018746878888090370647482641e-31,-9.1051557595341746910893491843967e-31,1.8283407399872949116899090558735e-15,1.1608500458700745211682560079756e-14,-6.8137305949028838028124937182649e-16,-1.5024228528484784620457895653628e-15,6.2743953188155515657334997277769e-12,4.7875336295771594610346618486752e-12,5.6792484034629316412941505682677e-28,3.6597655026351117063558007652959e-28,4.1221160398337625763773203440804e-31,3.1275457914767527357786253025024e-32,7.8846376957236488421467607450571e-18,6.0161921917974725699470530572251e-18,7.1367540248922834539810031151523e-34,4.5989969667759297780957257021701e-34,5.1800037871945588268493032455006e-37,3.9301899529076159716232379645739e-38
1,-2.4140668001771614102425706554537e-31,-3.9729191936136817649324345970021e-31,2.5158493869891129307646973917967e-15,4.6418402105127671512255351268074e-15,-5.1955935255333796625405853917077e-16,-5.4211141787585040038135547115703e-16,3.3358179599145660669483729208388e-12,1.1491087309043705908324102255042e-12,2.7746471018433631644674199014656e-28,7.9699841632466225968001015232744e-29,8.9192547669653747568187161550486e-31,9.6186943926134495025370879931873e-31,4.1919124786321963777914925110989e-18,1.4440126188740243548454474999942e-18,3.4867243805821282685935427009621e-34,1.0015377478593033635734547007658e-34,1.1208266100557664306162719438743e-36,1.2087207856383898558357764007478e-36
1,-1.678194297335117202950507108432e-31,-1.2273364376384281197816607640543e-31,1.814951890938311089968986335945e-15,1.6139189336235221264557489879474e-15,-3.0771188297969885283383272729019e-16,-1.5694454389914346029396856328002e-16,1.5970362794904887938075082505127e-12,2.059916889405456046956505363935e-14,1.250295045099853641012959530273e-28,7.0631748540930952299697690698853e-32,6.1827995149227357025832327046221e-31,4.7411152293686677102654352309276e-31,2.0068949772654780514861194072483e-18,2.5885679067046874542678509041266e-20,1.5711670914021675755190598746857e-34,8.8758472930556101458233626633805e-38,7.7695350138799204054168482581415e-37,5.957861109762916846994408521247e-37
1,-9.3212260933107346799962190094617e-32,-2.2374170509104212304177249036597e-32,1.0672123369721006064785987055745e-15,4.18959172298058815540228418828e-16,-1.5898856550378985333202275803781e-16,-2.1829558523217925954564070317564e-17,6.930313513600201297271118530594e-13,-2.1791132380088372378758785065039e-13,5.1708727150357473572469630981446e-29,-1.4070930639111829427034884368649e-29,3.6065181451909897390020923958532e-31,2.9444584906622087984087956387083e-31,8.7088888085601837620090051636245e-19,-2.7383544559475315308040240390934e-19,6.4979102936816839819899346688393e-35,-1.7682052930002099544778196865871e-35,4.5320843639881199811404420174259e-37,3.7001156652257942302682337810028e-37
1,-4.5504013961376201311910948080923e-32,7.3034613861359919327546201126438e-33,5.5846277299268090952009268895345e-16,1.2178199163054175786852065994858e-17,-7.3619227571155862272132010479934e-17,1.4863530933775505830121235439724e-17,2.6743769535134053409693957060144e-13,-1.9161725086921157416537033972444e-13,1.9084388165617217617844785902356e-29,-1.0763455284591500595338573285438e-29,1.9266388189560676574753206333851e-31,2.1271488877020895362881186375235e-31,3.360721196035026172336854028407e-19,-2.4079333905271500551567590748332e-19,2.3982149463743613528467298581525e-35,-1.3525756819725957569139068412033e-35,2.4210857439013187269867146132069e-37,2.6730541274786335320933192350442e-37
