source_type,TX_x,TX_y,TX_z,moment,azimuth,dip,RX_x,RX_y,RX_z
Electric_Dipole_Source,0,0,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,1000,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,2000,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,3000,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,4000,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,5000,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,6000,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,7000,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,8000,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,9000,950,1,90,0,0,0,1000
Electric_Dipole_Source,0,10000,950,1,90,0,0,0,1000
