freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
1,8.7255417621840343276627241226527e-14,1.0114420612373892803862506055414e-13,-4.0701267867542986051861346288131e-13,-3.2499038670864006734135174874805e-13,7.9178548627048752420794067337743e-15,8.5554026113550039596455961505443e-15,-1.8483906299040332226600044676726e-10,1.071711675165393166129510069629e-10,-5.6136789323499429709378283524725e-11,1.4856373587978255885024070100171e-11,-1.1347965738381531432181777388043e-10,-5.7507338324836248373529898800217e-12,-2.3227561695482882859056109697822e-16,1.3467526101864037557454981949711e-16,-7.0543569973929497110962017399287e-17,1.8669069649191168366870833945093e-17,-1.4260274318755236953346359983467e-16,-7.2265852643523315555185101094922e-18
1,9.298424612244843268235856824982e-14,1.249776947972653533363077257753e-13,-4.5121647814313138750373554049796e-13,-4.0511256543089164289664169579392e-13,8.5302405280975643522350491573909e-15,1.081748019470407616220135756528e-14,-2.1249126273504887341882777683299e-10,1.0916109671290835130002635692772e-10,-6.6466578413169161241456209834156e-11,1.2937187866161402806306069027635e-11,-1.4979559031019951787713255528467e-10,-2.5950360059871461280349321203013e-12,-2.6702439598417926195081837863636e-16,1.371758797964311102793441872453e-16,-8.352436578082486776123533009381e-17,1.6257349743377468536595477421414e-17,-1.8823869042346765058615424538491e-16,-3.2610184208840867571528784718279e-18
1,9.7754164375154486236860650355632e-14,1.5303122464761629362883352670063e-13,-4.9579157183144493150857151599205e-13,-4.9625874867231638339698208273904e-13,9.0959446728385708106562858403303e-15,1.3523786588800841715271418196425e-14,-2.3795709144241773718893891091772e-10,1.0838426488118829210391747390496e-10,-7.8310968128083698234750220122723e-11,1.0069676331749579189675195790117e-11,-1.9740046641983878560687790076455e-10,1.6646353572402208279685377576452e-12,-2.9902570013803767649016457691958e-16,1.3619968412618851961876558578338e-16,-9.8408464866676860198124779336681e-17,1.2653928475140596331837472781696e-17,-2.4806074204790563567561788537164e-16,2.0918424836846793487383420104661e-18
1,1.0112997470042960923202672191297e-13,1.8584306694286584967444339856583e-13,-5.3945159999235090505010356126301e-13,-5.9688163354369934902562817359655e-13,9.573313029089594953870010317298e-15,1.6735310741274217079736038440714e-14,-2.5706571332965124659227914746243e-10,1.0390159126580876937134678858704e-10,-9.1712782791282592028078109861914e-11,5.9865940977617221496713260226507e-12,-2.5835072822721684515943499944738e-10,6.8803386013242399687462023587594e-12,-3.2303830259450083212073277039681e-16,1.3056659032678167803829649860397e-16,-1.152496818629479135147602558658e-16,7.522976015020896283737591050761e-18,-3.2465309993927905276643971930449e-16,8.6460884816522008267064906151489e-18
1,1.0255938046231091594104408861717e-13,2.2392472194114235794236786953755e-13,-5.8052207849564549842781336561127e-13,-7.0343859001863144908412693772901e-13,9.9075475776712939244046971409106e-15,2.0508802546966841075365479676344e-14,-2.6379401934571465802825936162004e-10,9.4750922043816401531052010887777e-11,-1.0659907247731597070706903694772e-10,3.590276390672074535482544361914e-13,-3.3379101567638343119089939470766e-10,1.2601996016064896752772152217396e-11,-3.3149334129496835375308227923922e-16,1.1906752024548511523339028927511e-16,-1.3395634518968868354629546528166e-16,4.5116743733169063528565118472513e-19,-4.1945416107328064441648464892971e-16,1.5836135241854925033546784260029e-17
1,1.013492579091293448883031301517e-13,2.6769954522632463315369100708995e-13,-6.1696312030927494713943706934203e-13,-8.096502034813432933631467962685e-13,1.0027793923136501962441605542888e-14,2.4888231593654896545679703186315e-14,-2.5031464756757156722506576054018e-10,8.0140462978970855182524886024006e-11,-1.2271042273279021216594529006201e-10,-7.2099310618012201571415796068174e-12,-4.228056264266133410856393369027e-10,1.7944398344099571261755978177673e-11,-3.1455466315368042068566719976868e-16,1.0070747590000784417575122651589e-16,-1.5420246503049267475341734658479e-16,-9.060266582657427694736637079541e-18,-5.3131321995131156550805555792051e-16,2.2549596004364823827386952096345e-17
1,9.6641678090227379413404884565469e-14,3.1741451783133034494598972926779e-13,-6.4649262592070968365737719514921e-13,-9.0591679593902010526956436773706e-13,9.8443237884972040983623762241348e-15,2.9893100312974887249443048589995e-14,-2.0783813191452531795824104620134e-10,5.9769933704193587270178603420613e-11,-1.3952006318031520589314945535614e-10,-1.718516054201119684467630503447e-11,-5.2093955228016329421304088189196e-10,2.1483505233103167584662187497845e-11,-2.6117709934339957866324594367199e-16,7.5109113852257414739165153341863e-17,-1.7532608220626480352023057333569e-16,-2.1595509643817425353820103738619e-17,-6.5463194816308669145119158789092e-16,2.6996968885469910694669401566791e-17
1,8.7393391705518894967022045679372e-14,3.7302737502630718705600711945993e-13,-6.6686088120663840036098655530697e-13,-9.7929906378834646769804227670576e-13,9.2463907547671541133139073149903e-15,3.5504700755093638102128009568307e-14,-1.2870053778321583243319003916341e-10,3.4272101709778363661677078403557e-11,-1.5616492507446290195695709262304e-10,-3.0087776506446285214212178539967e-11,-6.1886696739262796452737117107413e-10,2.1262563784024615187565552464101e-11,-1.6172986560512257050073626798421e-16,4.3067593181808756527005384464814e-17,-1.9624263254493325008179101885989e-16,-3.7809415054201288159560055285819e-17,-7.7769116732402959485237040637075e-16,2.6719325672150451305114836383079e-17
1,7.2364483544065881585288419229665e-14,4.3408293151872619185408559540442e-13,-6.7631010767403316095096275749181e-13,-1.0145911123929865955608543355894e-12,8.1015707109236893553023728155323e-15,4.1653244053568768112647040363982e-14,-9.7716545915812151273630979002923e-12,5.6854875927877553589933367781463e-12,-1.7142773152128972448004089115526e-10,-4.6465894703968238154665408467294e-11,-7.0219114707850921478677827186426e-10,1.5011371527311224374190417900482e-11,-1.2279423311331404840620252963892e-17,7.1445944214311703186470147887832e-18,-2.1542244078753886048734645079461e-16,-5.8390765377785397304977901433592e-17,-8.8239941963105370563195122663305e-16,1.8863845804203172176095379953501e-17
1,5.0123385342631960070276842708648e-14,4.9960762926331651465320687711732e-13,-6.7419527739196842990405025462232e-13,-9.9687150075314555447217811553509e-13,6.2574695748552956658932248469112e-15,4.8210509602473009713856895758169e-14,1.4371349561313420860702097084968e-10,-2.224459626347290557528374010509e-11,-1.8381602836026561646390224220106e-10,-6.6844434555474696049541146389002e-11,-7.5357953307085681368278710969282e-10,6.4712273490216430104507449550476e-13,1.805957048159725314901245725331e-16,-2.7953384081358974926769229953563e-17,-2.309900337234654074644781458312e-16,-8.3999193813137203792450475889531e-17,-9.4697596999641205639468707269069e-16,8.1319841197582977675699785551138e-19
