freq_Hz,Ex_re,Ex_im,Ey_re,Ey_im,Ez_re,Ez_im,Hx_re,Hx_im,Hy_re,Hy_im,Hz_re,Hz_im,Bx_re,Bx_im,By_re,By_im,Bz_re,Bz_im
1,0,0,-3.9094194834722499173570207852536e-13,-3.4403451011822281759777222778851e-13,0,0,-2.2640289176724332163676582745624e-10,1.3144982216475911044927439540322e-10,0,0,-2.6199521617139733953362433481255e-11,-7.7375883938444809418660292279113e-11,-2.8450626461098265602980249984586e-16,1.6518471825139678422988334915574e-16,0,0,-3.2923289855989263039724897878815e-17,-9.723340341841386323828341064603e-17
1,0,0,-4.4482268921071028236746432646015e-13,-4.4297950390517597589463152284739e-13,0,0,-2.7589267406654833048196929410039e-10,1.4127653901649237993398204933811e-10,0,0,-4.4488228061349121002198439682213e-11,-8.090378519049294239844635061941e-11,-3.4669695921068456126524023169194e-16,1.7753333483952169430114430278127e-16,0,0,-5.5905556179504669601238173852889e-17,-1.0166669488082372555986772814338e-16
1,0,0,-5.0223036325013879438226036301153e-13,-5.6259455318189929452326213711894e-13,0,0,-3.3083195961368812340355179369919e-10,1.4912325908930732898545512621141e-10,0,0,-7.3221803451771406516663956948285e-11,-8.2591244895557562483399805812245e-11,-4.1573570155803106522617395336769e-16,1.8739381409373408726758193723227e-16,0,0,-9.2013231922672319090537369730815e-17,-1.0378721928588764822844305031304e-16
1,0,0,-5.6213049727563282583050737200641e-13,-7.0457547486452042310587400888522e-13,0,0,-3.8859452669451876994150858616109e-10,1.5365119844453894648553134573925e-10,0,0,-1.1606518823617275107372338676008e-10,-8.1998782880577340143812278265865e-11,-4.8832228411548112891582324289047e-16,1.9308379049945239903297892218366e-16,0,0,-1.4585181708011072477747393107908e-16,-1.0304270956037050376376426000876e-16
1,0,0,-6.2289202384336052079426274532268e-13,-8.6915647159980885165028069142746e-13,0,0,-4.4428348071289308232885649237837e-10,1.5318140746540360653775441794811e-10,0,0,-1.7675570082225613958783765071101e-10,-7.8847313465078238743579852224286e-11,-5.5830308764757098324446297913894e-16,1.9249343374394265369698454385928e-16,0,0,-2.221177644733260947870549655593e-16,-9.9082456294872554236157805579196e-17
1,0,0,-6.8216524670845668831922459055694e-13,-1.0540862508676113479838855534799e-12,0,0,-4.9013320724096850589092464449024e-10,1.4577599906106219843678518830545e-10,0,0,-2.5807247117982307318424634758731e-10,-7.3193459504385160617476923034311e-11,-6.1591955325945211084937634297253e-16,1.8318752308797824198873666420951e-16,0,0,-3.2430343182091829708610947187357e-16,-9.1977613867919375209406986632303e-17
1,0,0,-7.3681852835354211031193409534268e-13,-1.2534595422694831516409208556893e-12,0,0,-5.1547214440443649446176516677287e-10,1.2946426536956401679097855925436e-10,0,0,-3.6014440748712410455280727103206e-10,-6.5637405113142914739464286002276e-11,-6.4776140079646181935586780139148e-16,1.6268959399496871029192638051661e-16,0,0,-4.5257080991719921476605571887931e-16,-8.248239588165876624750927619284e-17
1,0,0,-7.8300114427718440828283791003256e-13,-1.4567534451498418263559305214525e-12,0,0,-5.0791792058772669214593761867504e-10,1.0266023217572083612079120259369e-10,0,0,-4.7831385313496454177154576067519e-10,-5.7497045286861430459111348081783e-11,-6.3826848317800247251890695893293e-16,1.2900665248762682628293297200387e-16,0,0,-6.010669148476126684788848687034e-16,-7.2252918030529402984940738923112e-17
1,0,0,-8.1640785837409179714510906638627e-13,-1.6486828069397165667844466053956e-12,0,0,-4.563899707406790618304104695859e-10,6.4755616021579442991503020318154e-11,0,0,-6.0140116561477762012365206968959e-10,-5.0829936053494677278104245508425e-11,-5.7351655170039118875261580593228e-16,8.137430702883019874293524956618e-17,0,0,-7.5574299350228957325279189017457e-16,-6.3874781475239132812443324434204e-17
1,0,0,-8.3279136834539378313780648524026e-13,-1.8105927573022390070628644748613e-12,0,0,-3.5573996634015450130637668956879e-10,1.6745927037038658007836865010546e-11,0,0,-7.1186163532206515441871811654992e-10,-4.8167453588063005411724769374646e-11,-4.4703602593700384423983463731488e-16,2.1043552542844533697047250431364e-17,0,0,-8.9455171356008646846878089616593e-16,-6.0529007333754418120440813983258e-17
1,0,0,-8.2868304746876674380601348189631e-13,-1.9237442473320416917711255314411e-12,0,0,-2.112879090229444161634156280712e-10,-3.8396934558627552606669656303244e-11,0,0,-7.892179222829112972761575866003e-10,-5.190635976240914264668261410789e-11,-2.6551221711153229493882010139716e-16,-4.8251011011900945939001655033938e-17,0,0,-9.9176049069015771915519040693911e-16,-6.5227455401669352456050668151278e-17
1,0,0,-8.2110470689450253577708382436201e-13,-1.9658474966240165376892563538688e-12,0,0,2.8041202841740791554219945158566e-13,1.4429819218186411773187098618497e-13,0,0,-8.1706249837432347529408112733773e-10,-5.5698657546156099243806583516604e-11,3.5237614738173638352191327400968e-19,1.8133045619393295330985980948387e-19,0,0,-1.0267510169665986667868747334805e-15,-6.9992997344727072848032891334892e-17
1,0,0,-8.2879750069816106934647074054723e-13,-1.923522542287555502603236432436e-12,0,0,2.1185101739948823031555157555563e-10,3.8689485572195859780007523500301e-11,0,0,-7.8931885429887704631962767323414e-10,-5.1942023893448631676797030038516e-11,2.6621983996710222655813845808973e-16,4.8618641457911520529377773264502e-17,0,0,-9.9188732560210569799412064981448e-16,-6.5272272270497494234905501610488e-17
1,0,0,-8.3302630286790073657950195264058e-13,-1.810149047751343808942214496103e-12,0,0,3.5630129935748389283856590199209e-10,-1.6424915326919659594925525081293e-11,0,0,-7.1206396508292961505777191659971e-10,-4.8241065274617372263942986238756e-11,4.4774141781038757382187955817066e-16,-2.064015733075407792916613269482e-17,0,0,-8.9480596863622020083647472248883e-16,-6.0621510507233443950650128936395e-17
1,0,0,-8.1677832993046267055330050606109e-13,-1.6480181474737522630812938213468e-12,0,0,4.5694756206414220610215715746632e-10,-6.4386698801144111145662993983074e-11,0,0,-6.0170531144825798530508065915974e-10,-5.0947420335735400815472452417876e-11,5.742172416225900438302072051494e-16,-8.0910711977029235525002300971889e-17,0,0,-7.5612519442872231466537732178748e-16,-6.4022416578439020130570879223458e-17
1,0,0,-7.8353001281507655036846185081813e-13,-1.455869909977287433768283243419e-12,0,0,5.0846847649244044719119749054111e-10,-1.02223273549643376623441128615e-10,0,0,-4.7872028890668801152817483639148e-10,-5.7667401902251917544139687179768e-11,6.3896033213225806528811649196054e-16,-1.2845755408378375560562796308101e-16,0,0,-6.0157765710145369817672651728403e-16,-7.2466994467089867842535771933812e-17
1,0,0,-7.3753678190677339456441119237433e-13,-1.2523608647077850611121459806652e-12,0,0,5.1601044958746217598177981073643e-10,-1.2893818310054756526198125695428e-10,0,0,-3.6065346192276385681484595686517e-10,-6.5872842626254655022861489696752e-11,6.4843785503981492726501848925408e-16,-1.620284995183583276255430442029e-16,0,0,-4.5321050658731241663086028722779e-16,-8.2778255386287268010796041450355e-17
